Plan,Expert,Our_method,Pei,Middle_frame,Zhang_et_al,Chen_et_al
Plan5,E11,1,0,0,0,1
Plan5,E12,1,0,0,0,0
Plan5,E13,1,0,1,0,1
Plan5,E14,1,1,1,1,1
Plan5,E15,1,0,1,0,1
Plan5,E16,1,0,0,0,1
Plan6,E1,1,1,0,1,0
Plan6,E2,1,0,0,0,0
Plan6,E3,1,0,0,0,0
Plan6,E4,1,0,0,0,0
Plan6,E5,1,0,0,0,0
Plan6,E6,1,0,0,0,0
Plan6,E7,1,0,0,0,0
Plan6,E8,1,0,0,0,1
Plan6,E9,1,0,0,0,0
Plan6,E10,1,0,0,0,0
Plan6,E11,1,1,0,0,0
Plan6,E12,0,0,0,0,0
Plan6,E13,1,0,0,0,0
Plan6,E14,1,1,1,1,1
Plan6,E15,1,1,1,1,1
Plan6,E16,1,0,0,0,0
Plan7,E1,0,1,0,0,1
Plan7,E2,0,0,0,0,1
Plan7,E3,0,1,0,0,0
Plan7,E4,0,0,1,0,1
Plan7,E5,1,0,0,0,0
Plan7,E6,0,0,0,0,1
Plan7,E7,0,0,0,0,1
Plan7,E8,1,1,1,0,1
Plan7,E9,0,0,0,0,0
Plan7,E10,1,0,1,0,1
Plan7,E11,1,1,1,1,1
Plan7,E12,1,1,1,1,1
Plan7,E13,1,0,1,0,1
Plan7,E14,1,1,1,1,1
Plan7,E15,1,1,1,0,1
Plan7,E16,1,0,1,0,0
Plan8,E1,0,0,1,0,1
Plan8,E2,0,1,0,0,1
Plan8,E3,0,0,0,0,1
Plan8,E4,0,1,0,0,1
Plan8,E5,0,0,0,0,0
Plan8,E6,0,0,1,0,0
Plan8,E7,0,0,1,0,0
Plan8,E8,0,0,1,0,0
Plan8,E9,0,0,1,0,0
Plan8,E10,0,1,1,0,1
Plan8,E11,1,1,1,1,0
Plan8,E12,0,0,1,0,0
Plan8,E13,0,1,1,1,0
Plan8,E14,1,1,1,1,1
Plan8,E15,1,1,1,1,1
Plan8,E16,0,0,0,0,0
Plan9,E1,0,0,0,0,1
Plan9,E2,0,0,0,0,1
Plan9,E3,0,0,0,1,1
Plan9,E4,0,0,0,0,1
Plan9,E5,0,0,0,0,0
Plan9,E6,0,0,0,0,0
Plan9,E7,0,0,0,0,0
Plan9,E8,0,0,0,0,1
Plan9,E9,0,0,0,0,0
Plan9,E10,0,0,0,0,0
Plan9,E11,0,0,0,0,0
Plan9,E12,0,1,0,0,0
Plan9,E13,0,0,0,0,0
Plan9,E14,1,1,0,1,1
Plan9,E15,1,1,0,1,1
Plan9,E16,0,0,0,0,1
Plan10,E1,0,0,1,0,0
Plan10,E2,1,0,0,0,0
Plan10,E3,1,0,1,0,0
Plan10,E4,1,0,0,0,0
Plan10,E5,1,0,0,0,0
Plan10,E6,0,0,0,1,0
Plan10,E7,1,0,1,1,0
Plan10,E8,1,0,1,1,1
Plan10,E9,1,0,0,0,0
Plan10,E10,1,0,1,1,0
Plan10,E11,1,0,1,1,0
Plan10,E12,0,0,1,0,1
Plan10,E13,1,0,1,1,0
Plan10,E14,1,0,1,1,1
Plan10,E15,1,0,1,1,0
Plan10,E16,1,0,1,1,0
